wrId,wrMarketTemplateId,wrRunner,wrLine,wrOverRate,wrUnderRate,wrLastUpdate,wrSelectionId,wrOrder,wrBackPrice,wrBackSize,wrLayPrice,wrLaySize,wrYesPoint,wrNoPoint,wrYesRate,wrNoRate,wrIsDeleted,wrDeletedBy,wrDeletedAt,eventmarketid
32,100,odd,0.6,2.03,1.97,2024-07-09 13:20:20.052854+00:00,10001,1,1.0,95.0,1.0,105.0,0,0,0,0,False,,,0
34,102,odd,0.6,2.03,1.97,2024-10-08 07:07:47.377042+00:00,10201,1,1.0,95.0,1.0,105.0,0,0,0,0,False,,,0
33,101,odd,0.6,2.03,1.97,2024-07-09 13:18:50.616022+00:00,10101,1,1.0,95.0,1.0,105.0,0,0,0,0,False,,,0
30,98,odd,0.6,2.03,1.97,2024-07-09 13:19:49.181310+00:00,9801,1,1.0,95.0,1.0,105.0,0,0,0,0,False,,,0
31,99,odd,0.6,2.03,1.97,2024-07-09 13:18:22.260072+00:00,9901,1,1.0,95.0,1.0,105.0,0,0,0,0,False,,,0
81,152,0,10.5,9.5,10.5,2024-10-16 05:37:55.275080+00:00,15201,1,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
82,152,1,10.5,9.5,10.5,2024-10-16 05:37:55.276697+00:00,15202,2,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
83,152,2,10.5,9.5,10.5,2024-10-16 05:37:55.278240+00:00,15203,3,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
88,152,7,10.5,9.5,10.5,2024-10-16 05:37:55.286564+00:00,15208,8,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
84,152,3,10.5,9.5,10.5,2024-10-16 05:37:55.280067+00:00,15204,4,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
89,152,8,10.5,9.5,10.5,2024-10-16 05:37:55.288030+00:00,15209,9,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
85,152,4,10.5,9.5,10.5,2024-10-16 05:37:55.281721+00:00,15205,5,9.5,10000.0,10.5,10000.0,0,0,0,0,False,,,0
